sample_block_idx,sample_start,sample_end_exclusive,total_rows,skipped_samples,evaluated_samples,correct,interval_acc,cumulative_evaluated_samples,cumulative_correct,cumulative_acc
192,19100,19200,100,0,100,94,0.94,17700,16893.0,0.954406779661017
193,19200,19300,100,0,100,94,0.94,17800,16987.0,0.9543258426966292
194,19300,19400,100,0,100,97,0.97,17900,17084.0,0.9544134078212291
195,19400,19500,100,0,100,88,0.88,18000,17172.0,0.954
196,19500,19600,100,0,100,93,0.93,18100,17265.0,0.9538674033149172
197,19600,19700,100,0,100,96,0.96,18200,17361.0,0.9539010989010989
198,19700,19800,100,0,100,95,0.95,18300,17456.0,0.953879781420765
199,19800,19900,100,0,100,96,0.96,18400,17552.0,0.9539130434782609
200,19900,20000,100,0,100,98,0.98,18500,17650.0,0.9540540540540541
201,20000,20100,100,0,100,89,0.89,18600,17739.0,0.9537096774193549
202,20100,20200,100,0,100,94,0.94,18700,17833.0,0.9536363636363636
203,20200,20300,100,0,100,89,0.89,18800,17922.0,0.9532978723404255
204,20300,20400,100,0,100,95,0.95,18900,18017.0,0.9532804232804233
205,20400,20500,100,0,100,93,0.93,19000,18110.0,0.9531578947368421
206,20500,20600,100,0,100,93,0.93,19100,18203.0,0.9530366492146597
207,20600,20700,100,0,100,94,0.94,19200,18297.0,0.95296875
208,20700,20800,100,0,100,94,0.94,19300,18391.0,0.952901554404145
209,20800,20900,100,0,100,95,0.95,19400,18486.0,0.9528865979381443
210,20900,21000,100,0,100,93,0.93,19500,18579.0,0.9527692307692308
211,21000,21100,100,0,100,94,0.94,19600,18673.0,0.9527040816326531
212,21100,21200,100,0,100,94,0.94,19700,18767.0,0.9526395939086294
213,21200,21300,100,0,100,94,0.94,19800,18861.0,0.9525757575757576
214,21300,21400,100,0,100,96,0.96,19900,18957.0,0.9526130653266331
215,21400,21500,100,0,100,94,0.94,20000,19051.0,0.95255
216,21500,21600,100,0,100,94,0.94,20100,19145.0,0.9524875621890547
217,21600,21700,100,0,100,95,0.95,20200,19240.0,0.9524752475247524
218,21700,21800,100,0,100,94,0.94,20300,19334.0,0.9524137931034483
219,21800,21900,100,0,100,90,0.9,20400,19424.0,0.952156862745098
220,21900,22000,100,0,100,96,0.96,20500,19520.0,0.9521951219512195
221,22000,22100,100,0,100,88,0.88,20600,19608.0,0.9518446601941748
222,22100,22200,100,0,100,95,0.95,20700,19703.0,0.9518357487922705
223,22200,22300,100,0,100,91,0.91,20800,19794.0,0.9516346153846154
224,22300,22400,100,0,100,94,0.94,20900,19888.0,0.9515789473684211
225,22400,22500,100,0,100,90,0.9,21000,19978.0,0.9513333333333334
226,22500,22600,100,0,100,93,0.93,21100,20071.0,0.9512322274881516
227,22600,22700,100,0,100,94,0.94,21200,20165.0,0.9511792452830189
228,22700,22800,100,0,100,92,0.92,21300,20257.0,0.9510328638497653
229,22800,22900,100,0,100,95,0.95,21400,20352.0,0.9510280373831775
230,22900,23000,100,0,100,96,0.96,21500,20448.0,0.9510697674418604
231,23000,23100,100,0,100,97,0.97,21600,20545.0,0.9511574074074074
232,23100,23200,100,0,100,95,0.95,21700,20640.0,0.9511520737327189
233,23200,23300,100,0,100,97,0.97,21800,20737.0,0.9512385321100918
234,23300,23400,100,0,100,95,0.95,21900,20832.0,0.9512328767123288
235,23400,23500,100,0,100,92,0.92,22000,20924.0,0.9510909090909091
236,23500,23600,100,0,100,95,0.95,22100,21019.0,0.9510859728506788
237,23600,23700,100,0,100,95,0.95,22200,21114.0,0.951081081081081
238,23700,23800,100,0,100,93,0.93,22300,21207.0,0.9509865470852018
239,23800,23900,100,0,100,93,0.93,22400,21300.0,0.9508928571428571
240,23900,24000,100,0,100,91,0.91,22500,21391.0,0.9507111111111111
241,24000,24100,100,0,100,94,0.94,22600,21485.0,0.9506637168141593
242,24100,24200,100,0,100,96,0.96,22700,21581.0,0.9507048458149779
243,24200,24300,100,0,100,95,0.95,22800,21676.0,0.9507017543859649
244,24300,24400,100,0,100,94,0.94,22900,21770.0,0.9506550218340611
245,24400,24500,100,0,100,91,0.91,23000,21861.0,0.9504782608695652
246,24500,24600,100,0,100,92,0.92,23100,21953.0,0.9503463203463204
247,24600,24700,100,0,100,95,0.95,23200,22048.0,0.9503448275862069
248,24700,24800,100,0,100,95,0.95,23300,22143.0,0.950343347639485
249,24800,24900,100,0,100,92,0.92,23400,22235.0,0.9502136752136752
250,24900,25000,100,0,100,95,0.95,23500,22330.0,0.9502127659574469
