window_id,sample_start,sample_end,n_eval,correct_estimated,interval_acc,cumulative_correct_estimated,cumulative_n_eval,cumulative_acc
302,31124,31223,100.0,96.0,0.960000,27272.0,30200.0,0.903046
303,31224,31323,100.0,95.25,0.952500,27367.25,30300.0,0.903210
304,31324,31423,100.0,99.75,0.997500,27467.0,30400.0,0.903520
305,31424,31523,100.0,100.0,1.000000,27567.0,30500.0,0.903836
306,31524,31623,100.0,98.0,0.980000,27665.0,30600.0,0.904085
307,31624,31723,100.0,91.0,0.910000,27756.0,30700.0,0.904104
308,31724,31823,100.0,100.0,1.000000,27856.0,30800.0,0.904416
309,31824,31923,100.0,99.75,0.997500,27955.75,30900.0,0.904717
310,31924,32023,100.0,93.25,0.932500,28049.0,31000.0,0.904806
311,32024,32123,100.0,96.0,0.960000,28145.0,31100.0,0.904984
312,32124,32223,100.0,100.0,1.000000,28245.0,31200.0,0.905288
313,32224,32323,100.0,99.25,0.992500,28344.25,31300.0,0.905567
314,32324,32423,100.0,96.75,0.967500,28441.0,31400.0,0.905764
315,32424,32523,100.0,97.0,0.970000,28538.0,31500.0,0.905968
316,32524,32623,100.0,100.0,1.000000,28638.0,31600.0,0.906266
317,32624,32723,100.0,96.75,0.967500,28734.75,31700.0,0.906459
318,32724,32823,100.0,94.25,0.942500,28829.0,31800.0,0.906572
319,32824,32923,100.0,93.0,0.930000,28922.0,31900.0,0.906646
320,32924,33023,100.0,100.0,1.000000,29022.0,32000.0,0.906937
321,33024,33123,100.0,96.75,0.967500,29118.75,32100.0,0.907126
322,33124,33223,100.0,87.75,0.877500,29206.5,32200.0,0.907034
323,33224,33323,100.0,88.5,0.885000,29295.0,32300.0,0.906966
324,33324,33423,100.0,100.0,1.000000,29395.0,32400.0,0.907253
325,33424,33523,100.0,92.75,0.927500,29487.75,32500.0,0.907315
326,33524,33623,100.0,96.25,0.962500,29584.0,32600.0,0.907485
327,33624,33723,100.0,97.0,0.970000,29681.0,32700.0,0.907676
328,33724,33823,100.0,100.0,1.000000,29781.0,32800.0,0.907957
329,33824,33923,100.0,83.0,0.830000,29864.0,32900.0,0.907720
330,33924,34023,100.0,93.0,0.930000,29957.0,33000.0,0.907788
331,34024,34123,100.0,97.0,0.970000,30054.0,33100.0,0.907976
332,34124,34223,100.0,100.0,1.000000,30154.0,33200.0,0.908253
