window_size,window_acc,global_acc,macro_f1,global_samples
100,0.9,0.9284705882352942,0.8999599839935974,8500
100,0.9,0.9281395348837209,0.898538961038961,8600
100,0.96,0.9285057471264367,0.9598554797270173,8700
100,0.92,0.928409090909091,0.9199679871948779,8800
100,0.91,0.9282022471910112,0.907321594068582,8900
100,0.96,0.9285555555555556,0.9595959595959596,9000
100,0.96,0.928901098901099,0.9592003263973888,9100
100,0.96,0.9292391304347826,0.9599358974358975,9200
100,0.9,0.9289247311827957,0.8993558776167472,9300
100,0.92,0.9288297872340425,0.9199679871948779,9400
100,0.96,0.9291578947368421,0.959983993597439,9500
100,0.93,0.9291666666666667,0.9296553110240177,9600
100,0.96,0.9294845360824743,0.9599358974358975,9700
100,0.93,0.9294897959183673,0.9296553110240177,9800
100,0.93,0.9294949494949495,0.9294283697953423,9900
100,0.83,0.9285,0.8298468621759583,10000
100,0.63,0.9255445544554456,0.6214833759590792,10100
100,0.95,0.9257843137254902,0.948849104859335,10200
100,0.93,0.9258252427184466,0.9296553110240177,10300
100,0.96,0.9261538461538461,0.9599358974358975,10400
100,0.88,0.9257142857142857,0.8795664391810518,10500
100,0.97,0.9261320754716981,0.96999699969997,10600
100,0.91,0.925981308411215,0.907321594068582,10700
100,0.91,0.9258333333333333,0.907928388746803,10800
100,0.96,0.9261467889908257,0.9599358974358975,10900
100,0.89,0.9258181818181819,0.8899009108197378,11000
100,0.93,0.9258558558558558,0.9296553110240177,11100
100,0.96,0.9261607142857143,0.9592003263973888,11200
100,0.93,0.9261946902654867,0.9298245614035088,11300
100,0.96,0.9264912280701755,0.9570999570999571,11400
100,0.94,0.926608695652174,0.9399759903961584,11500
100,0.96,0.926896551724138,0.9589490968801313,11600
100,0.96,0.9271794871794872,0.9599358974358975,11700
100,0.93,0.9272033898305084,0.928388746803069,11800
100,0.94,0.9273109243697479,0.9397832195905259,11900
100,0.94,0.9274166666666667,0.9397832195905259,12000
100,0.94,0.9275206611570248,0.9379909053327822,12100
100,0.91,0.9273770491803278,0.9066293183940243,12200
100,0.98,0.9278048780487805,0.9798711755233495,12300
100,0.92,0.927741935483871,0.9199679871948779,12400
100,0.93,0.92776,0.9299369432489241,12500
100,0.96,0.928015873015873,0.9597423510466989,12600
100,0.97,0.9283464566929134,0.9691071980228607,12700
100,0.95,0.928515625,0.9499949994999499,12800
100,0.96,0.9287596899224806,0.9597423510466989,12900
100,0.94,0.9288461538461539,0.9399038461538461,13000
100,0.92,0.9287786259541985,0.9198717948717949,13100
100,0.91,0.9286363636363636,0.9088976617066504,13200
100,0.95,0.928796992481203,0.9493875898370281,13300
100,0.96,0.9290298507462686,0.9575551782682512,13400
100,0.9,0.9288148148148148,0.8996386993175431,13500
100,0.95,0.9289705882352941,0.949874686716792,13600
100,0.96,0.9291970802919708,0.9589490968801313,13700
100,0.96,0.9294202898550724,0.9597423510466989,13800
100,0.96,0.9296402877697841,0.9586606035551881,13900
100,0.96,0.9298571428571428,0.9594155844155845,14000
100,0.92,0.9297872340425531,0.9151103565365025,14100
100,0.94,0.9298591549295775,0.9384236453201971,14200
100,0.91,0.9297202797202797,0.9097744360902256,14300
100,0.94,0.9297916666666667,0.9363327674023769,14400
100,0.94,0.9298620689655173,0.9393939393939394,14500
100,0.94,0.929931506849315,0.9393939393939394,14600
100,0.95,0.9300680272108843,0.9495916927109588,14700
100,0.96,0.9302702702702703,0.9589490968801313,14800
100,0.88,0.9299328859060403,0.8792270531400965,14900
100,0.83,0.9292666666666667,0.8270776116366596,15000
100,0.76,0.9281456953642384,0.7575757575757576,15100
100,0.94,0.9282236842105264,0.9396135265700483,15200
100,0.91,0.9281045751633987,0.907321594068582,15300
100,0.93,0.9281168831168831,0.9299929992999301,15400
100,0.93,0.9281290322580645,0.9299369432489241,15500
100,0.93,0.9281410256410256,0.928796663615095,15600
100,0.93,0.9281528662420382,0.9291426257718393,15700
100,0.96,0.9283544303797469,0.9586606035551881,15800
100,0.94,0.9284276729559748,0.9393939393939394,15900
100,0.95,0.9285625,0.949753793588584,16000
100,0.94,0.9286335403726708,0.9393939393939394,16100
100,0.96,0.9288271604938272,0.959983993597439,16200
100,0.96,0.9290184049079755,0.9595959595959596,16300
