window_size,window_acc,global_acc,macro_f1,global_samples
100,0.89,0.9392460317460317,0.8783051222480363,25200
100,0.92,0.9391699604743083,0.906498363721365,25300
100,0.91,0.9390551181102362,0.9058478920389161,25400
100,0.91,0.9389411764705883,0.9092650468797259,25500
100,0.91,0.938828125,0.8957247132429613,25600
100,0.97,0.9389494163424125,0.9582811848143513,25700
100,0.96,0.9390310077519379,0.9565972222222222,25800
100,0.95,0.9390733590733591,0.9491404740107823,25900
100,0.96,0.9391538461538461,0.9599358974358975,26000
100,0.93,0.9391187739463601,0.928388746803069,26100
100,0.97,0.9392366412213741,0.9699248120300752,26200
100,0.96,0.9393155893536121,0.9570999570999571,26300
100,0.93,0.9392803030303031,0.928388746803069,26400
100,0.96,0.9393584905660377,0.9594155844155845,26500
100,0.96,0.939436090225564,0.9589490968801313,26600
100,0.95,0.9394756554307117,0.947207264280435,26700
100,0.9,0.9393283582089552,0.898000815993472,26800
100,0.95,0.939368029739777,0.9493875898370281,26900
100,0.95,0.9394074074074074,0.9476932733549535,27000
100,0.9,0.9392619926199262,0.8999599839935974,27100
100,0.99,0.9394485294117647,0.9887779149365952,27200
100,0.98,0.9395970695970696,0.9797077922077921,27300
100,0.96,0.9396715328467153,0.9565972222222222,27400
100,0.93,0.9396363636363636,0.928388746803069,27500
100,0.95,0.9396739130434782,0.9493875898370281,27600
100,0.95,0.9397111913357401,0.9476932733549535,27700
100,0.97,0.9398201438848921,0.9663337448097856,27800
100,0.94,0.9398207885304659,0.9388004895960832,27900
100,0.91,0.9397142857142857,0.908452853219408,28000
100,0.96,0.9397864768683274,0.9589490968801313,28100
100,0.94,0.9397872340425532,0.9310661764705883,28200
100,0.92,0.9397173144876325,0.9166666666666667,28300
100,0.94,0.9397183098591549,0.9375,28400
100,0.93,0.9396842105263158,0.928796663615095,28500
100,0.97,0.9397902097902098,0.968,28600
100,0.93,0.9397560975609756,0.9291426257718393,28700
100,0.9,0.9396180555555556,0.898000815993472,28800
100,0.93,0.9395847750865052,0.928796663615095,28900
100,0.95,0.9396206896551724,0.948849104859335,29000
100,0.95,0.9396563573883161,0.9493875898370281,29100
100,0.96,0.9397260273972603,0.9570999570999571,29200
100,0.98,0.9398634812286689,0.9797077922077921,29300
100,0.94,0.9398639455782313,0.9399038461538461,29400
100,0.87,0.9396271186440678,0.8693598633303186,29500
100,0.9,0.9394932432432432,0.8851102941176471,29600
100,0.97,0.9395959595959597,0.9694842844064693,29700
100,0.98,0.9397315436241611,0.9780219780219781,29800
100,0.96,0.939799331103679,0.9595959595959596,29900
100,0.91,0.9397,0.9092650468797259,30000
100,0.86,0.9394352159468439,0.8391544117647058,30100
100,0.8,0.9389735099337748,0.7771836007130125,30200
100,0.78,0.9384488448844884,0.7549019607843137,30300
100,0.9,0.9383223684210527,0.8851102941176471,30400
100,0.91,0.9382295081967214,0.8871473354231975,30500
100,0.89,0.9380718954248366,0.8422939068100359,30600
100,0.92,0.9380130293159609,0.8933333333333333,30700
100,0.89,0.9378571428571428,0.8783051222480363,30800
100,0.91,0.9377669902912621,0.8918139199423007,30900
100,0.94,0.9377741935483871,0.8883928571428572,31000
100,0.93,0.9377491961414791,0.8963116575322174,31100
100,0.95,0.9377884615384615,0.9324233004460063,31200
100,0.95,0.9378274760383386,0.9410307819318315,31300
100,0.96,0.9378980891719745,0.9492643328259767,31400
100,0.93,0.9378730158730159,0.9225578050669322,31500
100,0.95,0.9379113924050633,0.9324233004460063,31600
100,0.97,0.9380126182965299,0.9582811848143513,31700
100,0.95,0.9380503144654088,0.9233011198036509,31800
100,0.95,0.9380877742946708,0.9092723643621847,31900
100,0.93,0.9380625,0.8885172798216276,32000
100,0.96,0.9381308411214954,0.9322493224932249,32100
100,0.98,0.9382608695652174,0.974012474012474,32200
100,0.94,0.9382662538699691,0.9095840867992766,32300
100,0.92,0.9382098765432099,0.9007936507936507,32400
100,0.97,0.9383076923076923,0.9502570054717294,32500
100,0.97,0.9384049079754602,0.9582811848143513,32600
100,0.94,0.9384097859327217,0.9331550802139037,32700
100,0.97,0.9385060975609756,0.9614940315748941,32800
100,0.97,0.9386018237082067,0.956989247311828,32900
100,0.91,0.9385151515151515,0.8918139199423007,33000
100,0.96,0.9385800604229607,0.9492643328259767,33100
100,0.99,0.9387349397590361,0.9874608150470219,33200
100,0.98,0.9388588588588589,0.9708624708624709,33300
